City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
meulaboh,36,100,4.14,96.13,77.32,3.94
cape town,75,87,-33.93,18.42,57.2,19.46
hualmay,24,89,-11.1,-77.61,60.22,4.94
luau,0,80,-10.7,22.23,66.79,4.38
new norfolk,75,51,-42.78,147.06,59.0,17.22
jamestown,0,58,-33.21,138.6,54.37,4.38
calvia,20,94,39.57,2.51,77.0,9.17
bluff,0,45,-23.58,149.07,74.71,6.62
prieska,0,62,-29.67,22.74,36.91,3.49
mendeleyevo,0,82,56.04,37.23,62.6,15.66
ilulissat,20,80,69.22,-51.1,35.6,3.36
tuktoyaktuk,75,80,69.44,-133.03,30.2,14.99
bolobo,48,100,-2.17,16.23,72.64,3.38
grand gaube,40,82,-20.01,57.66,68.0,1.12
kirensk,92,78,57.78,108.12,42.4,6.96
poum,0,87,41.28,20.71,46.63,1.7
mar del plata,0,51,-46.43,-67.52,52.66,20.83
ushuaia,75,52,-54.81,-68.31,44.6,23.04
bredasdorp,88,76,-34.53,20.04,53.6,6.93
broken hill,0,59,-31.97,141.45,58.51,5.61
sao benedito do rio preto,8,74,-3.33,-43.53,78.13,6.96
buraydah,0,27,26.33,43.97,87.8,4.7
nador,88,94,35.17,-2.93,72.48,8.05
upernavik,0,100,72.79,-56.15,37.27,2.93
te anau,44,94,-45.41,167.72,50.32,12.1
ponta do sol,48,94,-20.63,-46.0,59.59,4.72
solok,36,93,-0.79,100.66,70.21,1.7
amapa,75,74,15.09,-87.97,86.0,13.87
faanui,0,100,-16.48,-151.75,79.66,7.18
porosozero,88,84,62.72,32.71,50.77,14.23
atuona,0,100,-9.8,-139.03,79.66,16.13
basco,1,60,40.33,-91.2,75.99,4.7
dikson,0,100,73.51,80.55,34.03,4.5
nikolskoye,90,87,59.7,30.79,50.0,13.42
arlit,0,20,18.74,7.39,75.61,5.73
muros,40,100,42.77,-9.06,60.8,3.36
saint-pierre,0,88,48.95,4.24,61.61,9.17
saint-joseph,92,78,43.56,6.97,72.1,5.82
lorengau,64,100,-2.02,147.27,82.99,15.35
castro,92,92,-42.48,-73.76,46.54,3.83
faya,0,28,18.39,42.45,71.6,4.7
mataura,8,76,-46.19,168.86,58.24,16.24
rikitea,80,100,-23.12,-134.97,73.72,11.77
hanzhong,92,99,33.08,107.03,60.04,3.04
berdigestyakh,0,77,62.1,126.7,37.81,5.95
